Subject,Relation,Object 
హనుమాణ్ జంక్షన్‌కు,5వపేజీ,దగ్గరలో
డివిషన్‌లో,ఉంటుంది,భూభాగంతో రాజ్యంలో
అశోకచక్రవర్తి పాలనలో,ఉండేది,సామ్రాజ్యంలో
వ శతాబ్దంలో,మారింది,ప్రాంతం పాలనలోకి
పశ్చిమ చాళుఖ్యులు,మారింది,12 పాలలోకి
ముస్లిముల పాలన,సాధించాడు,ఆరంభకాలంలో
శతాబ్దం భూభాగం,మారింది,పాలనలోకి
1572లో బేరర్,అయింది,సుల్తానేట్‌లో
1595లో బేరర్,చేసాడు,ప్రాంతాన్ని నిజాంషాహి సామ్రాజ్యపరం
శతాబ్దంలో ముగల్,ఆక్రమించుకున్నాడు,ప్రాంతాన్ని
1596 -,ఉండేది,లో
అహమ్మద్ నగర్,ఒప్పంగించారు,భూభాగాన్ని నిజాంషాహికి
ప్రాంతం షాహి,మారింది,పాలనలోకి ఆధీనంలోకి
భవనాలు ప్రస్తుత,ఉండేవి,భాగంలో
యావత్మల్ యాత్,మారింది,పేరుతో
యవాత అనేపేరు,గామారింది,కాలక్రమంలో యాత్
1853 ప్రాంతం,మారింది,ప్రాంతంతో ఆధీనంలోకి
యావత్మల్ ప్రాంతం,ఉండేది,తూర్పు ప్రాంత్ంలో
1864లో యావత్మల్,ఉండేది,తాలూకాలతో హైదరాబాదు పాలనలో
యావత్మల్ జిల్లా,ఉన్నాయి,సరిహద్దులో
వార్ధా నదికి,ప్రవహిస్తున్నాయి,జిల్లాలో
2001 గణాంకాల,9,జిల్లాలో
‌వర్డ్ రీజన్,ఒకటి,ఫండు
ముస్లిములు,ఉన్నారు,5
మతాల ప్రజలు,జీవిస్తున్నారు,ఐకమత్యంతో
ఎన్టీయార్ రాజకీయాలలోకి,విడుదలైంది,దుమారంతోను
అభ్యంతరం మూడేళ్లు,ఎన్టీఆర్‌,న్యాయపోరాటం
ఎన్టీఆర్‌ కడపజిల్లా,వెళ్లినప్పుడు,పోతులూరి వీరబ్రహ్మేంద్రస్వామి ఆశ్రమానికి
అధికారంలోకి వీరబ్రహ్మం,ఆకర్షించింది,కాలజ్ఞానంలో విషయం ఆయనను
ఆర్ బ్రహ్మము,జీవించారు,పాత్రలో
వీరబ్రహ్మం చెక్క,ఆశ్చర్యపరిచింది,అతికినట్లు ఎన్టీఆర్‌ను
రాష్ట్రాలేలతాయి తాను,జి,దానికి
ఎన్టీఆర్‌ సీఎం,చెవినవేశారు,ప్రధానిగా
సినిమాకు ఏడాదిపాటు,‌,మద్రాసులో
సినిమా,విడుదలయ్యేనాటికి,చివరికి
బాలబడి ప్రాథమిక,ఉన్నాయి,రొట్టవలసలోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల ఆమదాలవలసలోనూ
వైద్య కళాశాల,ఉన్నాయి,ఆమదాలవలసలోనూ
వృత్తి విద్యా,ఉన్నాయి,ఆమదాలవలసలోను శ్రీకాకుళంలోనూ
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
వెల్స్ ఫార్గో,సంస్థ,అమెరికాకు
దీనికి దేశంలో,ఉన్నాయి,నగరాలలో
బాలబడి మాధ్యమిక,ఉన్నాయి,చెన్నూరులో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల కళాశాల గూడూరులో
సమీప వైద్య,ఉన్నాయి,కళాశాల కళాశాల గూడూరులోనూ
వృత్తి విద్యా,ఉన్నాయి,గూడూరులోను నెల్లూరులోనూ
సంచార వైద్య,లేరు,శాలలో
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
గంభీరావుపేట మండలం,మండలం,జిల్లాకు
మండలం సిరిసిల్ల,వస్తుంది,పరిధిలోకి
గమనిక నిర్జన,తీసుకోలేదు,పరిగణనలోకి
బాలబడి ఉట్నూరులోను,ఉన్నాయి,యెండలోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల ఆదిలాబాద్లోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల ఆదిలాబాద్లో
వృత్తి విద్యా,ఉన్నాయి,ఆదిలాబాద్
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,గంటల కోసం
కళాహ్రుదయం ప్రతిమనిషి,గలుగుతాం,కథ జీవితయాత్రలో సన్నివేశంలో మనలని
మనం ఆప్రదేశాలలో,అనిపించింది,ఆవ్యక్తులతో గమనంలో చోట మజిలీలో గమనంలో
నాస్మృతిపధంలో అన్న,నేను,పేరుతో వారంవారం జీవితాంగణంలో
నవలకు సంక్షిప్తంకథానాయకుడు,కరువువస్తుంది,జనొపయెగం దేశంలో
అందరూ విత్తనాలను,మండిపడతాడు,ఎకరములొకి ఎకరం పక్కయింటిలోనుండి భార్యతో దానికతను
ప్రాణం,అడగను,వాడిని
రైతు మాటలే,ముగుస్తుంది,రాత్రి పొలములో నక్షత్రపు లోనికి గుండెలపైకి ఎక్కడికి చేతిని చేతితొ చీకట్లొ
మరొచిన్న కథభర్తృవియెగం,నీటిలోపడిపొతుంది,లోనున్న ఒకామె తండ్రికి సమీపంలో
వద్దనినెనంటినిగా నేలపై,పిచ్చికల,సాయంసమయాలలో అలోయలో
ఇటాలియన్ చిత్రకారుడు,మెచ్చుకుంటుంది,బాలుడైన కొరికతొ
జీసెస్ అంతకరణను,చూపలేదు,ఈచిత్రపటము
విమర్శకులు ఏళ్ళకు,కనపడను,మీకు
ఆఖరిసారి నిదానించి,జూడాస్,ముఖంలొకి
నీచేతులలోనే స్వరూపానికి,చించివేస్తాడు,ఆబొమ్మని
రోజు వారిరువురు,స్తుంది,కాగులో
ఆమె గీతాలు,పెట్టిస్తాడు,వేడినీటికోసం
మారుమాట్లాడకుండా ప్రియురాలి,తెలుసుకుని,మరణించటానికి తండ్రితో పరిస్థితిలో
అంటుంది తల,భాధతొ,ద్వారానికి
అమ్మిరేఖల తూర్పు,గ్రామము,మండలానికి
కొత్తపల్లిలోను ప్రాథమికోన్నత,ఉన్నాయి,పెదమల్లాపురంలోనూ
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల అన్నవరంలోనూ
వైద్య కళాశాల,ఉన్నాయి,కళాశాల కాకినాడలో
వృత్తి విద్యా,ఉన్నాయి,కాకినాడలోనూ
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
టిండాల్ శాస్త్రవేత్త,చేర్చారు,లండన్లో ఉపన్యాసాలలో
ఆప్టికల్ ఫైబర్,ఉపయోగిస్తారు,మీటర్లు
వక్రీభవనం తరంగములు,దృగ్విషయము,యానకంలో దిశను
యానకం యానకం,గమనించవచ్చు,లోనికి
తరంగమైనా యానకం,చెందుతుంది,లోనికి
ధ్వని తరంగం,జరుగుతుంది,లోనికి
దృశా శాస్త్రంలో,సంభవిస్తుంది,కోణంతో యానకంలోనికి
ఉదాహరణకు కాంతి,వస్తుంది,వెలుపలికి గుణకంలో
వక్రీభవన టెలిస్కోప్,తయారైనది,దీని
పాత్రలోని నీటిలో,పరిశీలించవచ్చు,దృగ్విషయాన్ని
వ్యక్తి వస్తువును,కనిపిస్తుంది,దానిలో
కిరణాలు నీటినుండి,ప్రయాణిస్తారు,గాలిలోనికి
కిరణాలు కంటికి,గుర్తిస్తుంది,వాటిని
నీటి లోతు,కనిపిస్తుంది,పైకి
This is,fish,an important the
water higher,water,the
small angles,water,of of
the of,incidence,as of
travel the,over,and
region at,wavefront,the
travel slower,wavelengt,the
decreases the,boundary,the
original direction,waves,of the
direction of,shoreline,travel more the
Refraction also,into,of
spectrum,through,it
Glass higher,air,refractive than
When beam,into,of
at different,amount,different
at the,separated,become
While phenomena,Morgana,for
by the,temperature,are of
index to,light,of incident
metamaterials also,matched,are
analogy often,mud,that
marchers side,first,on the
may by,eye,to
error best,prescribed,and
determine which,provides,are
amount of,water,of the
phenomenon of,analysi,of
of this,highways,came into of urban
effects of,atmosphere,bending of
straw appears,air,of the
Photograph of,tank,of
of Double,sonograph,artifact
రాజమండ్రి రైల్వే,పనిచేస్తుంది,స్టేషను ప్రదేశ్ రాష్ట్రంలో రాజమండ్రిలో
రాజమండ్రి దవళేశ్వరం,ఉపయోగించారు,రవాణా
మద్రాస్ రైల్వే,చేసుకున్నారు,హస్తగతం
2013 నాటి,ఆగుతాయి,రాజమండ్రి
మిలియన్లు రాజమండ్రి,చేశారు,స్టేషను
రాజమండ్రి రైల్వే,ఒకటి,స్టేషన్లలో
బాలబడి కింటాడకోటపాడులోను,ఉన్నాయి,ఆలమండకోడూరులోనూ
సమీప వైద్య,ఉన్నాయి,కళాశాల కళాశాల విశాఖపట్నంలో
పారామెడికల్ సిబ్బంది,ఉన్నారు,ఒకరు
గ్రామంలో కుళాయిల,అవుతోంది,నీరు
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
మురుగునీటిని శుద్ధి,పంపిస్తున్నారు,ప్లాంట్‌లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
రూపాయలను వితరణగా,అందించారు,",36"
24వతేదీ శుక్రవారం,నిర్వహించారు,కన్నులపండువగా
సందర్భంగా స్వామివారలకు,సమర్పించారు,వస్త్రాలు
ఆలయం శ్రీ,ఉన్నది,ఆలయానికి దగ్గరలోనే
ఆలయాల సమీపంలోని,2017,ఆలయంలో
గంటలకు శ్రీ,వెళ్ళినారు,ఆలయానికి ఊరేగింపుగా
ఆడపిల్లలు పొడవుగల,గెంతుతుంటారు,దాదాపు చేతులతో కాళ్లకు
ఆట,ఆడతారు,దీనితోనే
పిల్లలందరూ చోట,గెలిచినట్టు,ఒకేసారి స్థలానికి
మృగాలకు రాజు,వర్ణిస్తారు,సింహాన్ని
అటవీ ప్రాంతంలోని,నివసిస్తుంది,మైదానాలలో
మగ సింహం,ఉంటుంది,జూలును
సింహాన్ని మృగ,పిలుస్తారు,రాజు
ఆడ సింహాలే,కనబడుతుంటాయి,భారతదేశంలో
ఆసియా ఖండంలో,చేరుకున్నాయి,దశకు
పూర్వం సింహాలను,ఆడించెడివారు,సర్కస్‌లలో
అటల్ బిహారీ,నాయకుడు,వాజపేయి ప్రదేశ్ లోని
3వ 9వ,వహించాడు,లోక్‌సభలకు పార్లమెంటుకు
భారతీయ జనతా,పనిచేశాడు,పార్టీకి
1999లో 13వ,ఉన్నాడు,ఎన్నికల పదవిలో
కాంగ్రేసేతర ప్రభుత్వమైన,నిర్వహించాడు,మంత్రివర్గంలో శాఖను
కారణాల క్రియాశీల,తప్పుకున్నాడు,రాజకీయాలనుండి
పుట్టినరోజు డిసెంబర్,ప్రకటించింది,ప్రభుత్వం
అనారోగ్యంతో మంచంపై,1924,వాజపేయికి రాష్ట్రపతే వాజపేయి నివాసానికి
గ్వాలియర్ లోని,జన్మించాడు,కుటుంబంలో
వాజపేయి గ్వాలియర్,చేశాడు,విద్యాభ్యాసం
గ్వాలియర్ విక్టోరియా,పట్టభద్రుడైనాడు,కళాశాల ప్రతిభావంతునిగా
డిగ్రీని ప్రథమ,ఉత్తీర్ణులైనాడు,శ్రేణిలో
వాజపేయి గ్వాలియర్లో,అయ్యాడు,సభతో విభాగానికి
అధికార్ల శిక్షణా,హాజరైనాడు,44 కేంద్రానికి
రాష్ట్రీయ స్వయంసేయక్,ప్రారంభించాడు,విస్తారక్
వాజపేయి జీవితాంతం,జీవించాడు,బ్రహ్మచారిగా
1942 ఆగస్టులో,పరిచయమేర్పడింది,ఉద్యమ రాజకీయాలతో
బ్రిటిష్ వ్యతిరేక,విడిచిపెట్టాడు,నాయకులతో
1951 భారతీయ,ఆర్,దక్షిణ
ఢిల్లీ కేంద్రంగా,స్వీకరించాడు,విభాగానికి కార్యదర్శిగా బాధ్యతలు
అనతికాలంలోనే జనసంఘ్,మారాడు,సహాయకునిగా
1954 కాశ్మీరులో,ఉన్నాడు,కాశ్మీరేతర భారతీయ
ముఖర్జీ నిరాహారదీక్షా,మరణించాడు,జైలులో
1957లో వాజపేయి,ఎన్నికయ్యాడు,నియోజకవర్గం లోక్‌సభకు
వాజపేయి దేశ,ఊహించాడు,ప్రధాని
వాగ్ధాటి సంస్థాగతమైన,ఎదిగాడు,ఆయనకు ముఖ్యనేతగా
దీన్ దయాళ్,పడింది,ఉపాధ్యాయ వాజపేయిపై
నానాజీ దేశ్‌ముఖ్,నడిపించాడు,లతో
1975 1977,అయ్యాడు,నాయకులతో
1977 సంఘసంస్కర్త,చేశాడు,నారాయణ్ పార్టీకి సంఘటితమై జనసంఘ్‌ను
1977 సార్వత్రిక,పనిచేశాడు,ఎన్నికలలో మంత్రివర్గంలో
విదేశీ వ్యవహారాల,నిలిచాడు,సభలో హిందీలో
జనతా ప్రభుత్వం,ఎదిగాడు,1979లో
1979లో మొరార్జీదేశాయ్,విఛ్ఛిన్నమైపోయింది,రాజీనామా జనతాపార్టీ
జనసంఘ్ నాయకులు,వచ్చింది,జనతాపార్టీని వర్గాల విభేదాలవల్ల సంకీర్ణంలోనుండి బయటకు
జనతా ప్రభుత్వం,అవతరించాడు,విమర్శకునిగా
భారతీయ జనతాపార్టీ,ఆరోపించింది,రాష్ట్రంలో
భారతీయ జనతా,వ్యతిరేకించింది,స్టార్ను
1984 సిక్కు,ఖండించింది,ఢిల్లీలో
జె పి,పొందింది,లోక్‌సభలో సీట్లను
జె పి,కొనసాగాడు,నాయకునిగా
ఎస్ ఎస్,గళాన్నిచ్చింది,కలసి
1995 మార్చిలో,సాధించింది,గుజరాత్ ఎన్నికలలో
1994లో కర్ణాటకలో,విజయాలుసాధించింది,ఎన్నికలలో
1995 నవంబరులో,బి,ముంబాయిలో
జె పి,ప్రకటించాడు,ప్రధానమంత్రి
1996 మే,బి,నెలలో
జె పి,సాధించింది,విజయం
1996 సార్వత్రిక,బి,ఎన్నికలలో లోక్‌సభలో స్థానాలు
ఆనాటి రాష్ట్రపతి,ఆహ్వానించాడు,ప్రభుత్వం
వాజపేయి భారత,అయ్యాడు,ప్రధానమంత్రి
బి జె,నిరూపించుకోలేకపోయింది,సభలో
పార్లమెంటులో మెజారిటీ,చేశాడు,పదవికి
జె పి,చేసుకుంది,పార్టీల స్థానాలను కైవసం
ప్రభుత్వంలో భాగస్వామైన,కోల్పోయింది,ఆలిండియా మున్నేట్ర
1999 ఏప్రిల్,ఓడిపోయింది,విశ్వాస ఓటుతో
విపక్షాలలో ప్రభుత్వం,రద్దయినది,యేర్పాటుకు
1974 ప్రోఖ్రాన్,నిర్వహించింది,ఎడారిలో
వారాల పాకిస్థాన్,స్పందించింది,అణుపరీక్షలతో
భారతదేశపు అణు,సమర్థించాయి,దేశాలు
యు ఎస్,విధించాయి,ఆంక్షలు
1988 చివరలో,ప్రారంభించాడు,దౌత్యచర్యలు
లాహోర్ బస్సును,ప్రారంభమైంది,ఫిబ్రవరిలో
వాజపేయి కాశ్మీర్,ఆహ్వానించాడు,సమస్యను తో పాకిస్థాన్
అణ్వాయుధరహిత దక్షిణాసియా,ఉద్బోధించింది,లక్ష్యాన్ని
ఒప్పందం 1998,ఉపశమింపజేసింది,ప్రపంచంలోనూ
యుద్ధప్రారంభ దశలో,రుజువయ్యింది,పాకిస్తాన్ కాశ్మీరీ యుద్ధంగా యుద్ధంలో
అధీనరేఖ పాకిస్తాన్,స్వాధీనపరుచుకుంది,వాయుసేన సహకారంతో
అంతర్జాతీయంగా ఒత్తిడిని,వెనుతిరిగింది,సైన్యం
ఎత్తైన పర్వత,ఉదాహరణ,ప్రాంతాల
ఎత్తులో యుద్ధం,ఎదురయ్యాయి,పక్షాలకూ
కార్గిల్ పరిణామాల,డి,ఎన్నికలలో పార్టీతో
కూటమి లోక్‌సభ,పొందింది,పార్లమెంటులో
డిసెంబర్ 1999,విమానం,కాఠ్మండు ఢిల్లీకి
814 ఆప్ఘనిస్థాన్,ఉద్భవించింది,కు తాలిబాన్ టెర్రరిస్టులు జైలులో కోరికతో ప్రభుత్వానికి
ప్రయాణికులు కుటుంబాలు,ఒప్పుకుంది,ప్రతిపక్షాల
ప్రైవేటు రంగాన్ని,ప్రోత్సహించాడు,పెట్టుబడులను
2000 మార్చిలో,సందర్శించారు,పర్యటనపై భారతదేశాన్ని
యేళ్లలో భారత,ఆయనే,దేశాన్ని
అమెరికా అధ్యక్షుడు,చెప్పవచ్చు,భారతదేశాన్ని పురోగతికి
సందర్శనకు సంవతర్సాల,ప్రతిబింబించింది,క్రితమే పోఖ్రాన్ అణు సైనికపాలనలోకి విధానంలో
భారత ప్రధానమంత్రి,జరిపారు,సమస్యలపై
ఎస్ ఎస్,ఎదుర్కొన్నది,ఒత్తిడిని
ప్రభుత్వం భాగస్వామ్య,కష్టతరమైనది,మద్ధతుతో
అధ్యక్షుడైన రాజేంద్రసింగ్,వ్రాసారు,మద్దతు లేఖ
పి జాతీయ,ఎదుర్కొంది,విద్యావిధానాన్ని పాఠ్యాంశాలను ఆరోపణలు
అద్వానీ మానవ,మోపారు,కేసులో ప్రసంగాలతో
మసీదు కూల్చివేతకు,గురిచేసింది,ముందురోజు ప్రజావిమర్శకు
న్యాయమూర్తి మన్మోహన్,పేర్కొంది,అధ్యక్షతన
నివేదికలో మసీదు,చేశారు,సమయంలో
అయోధ్యలో మసీదు,వచ్చాయి,సమయంలో
లిబర్హాన్ కమిషన్,నేరస్తుడయ్యాడు,నివేదికలో
ప్రాసిక్యూషన్ సాక్షిగా,హాజరయ్యింది,గుప్త
వాజపేయి ప్రభుత్వం,గురైంది,ఆధీనంలో కోపానికి
భారతీయ ఆర్థికరంగాన్ని,ప్రోత్సహించాడు,వ్యాపారరంగానికి
పోటీతత్వం సమాచార,చుట్టాయి,పరిశ్రమలకు
కాలంలో వాజపేయి,చూరగొన్నది,ప్రజాసక్తిని
కాళ్లపై ఒత్తిడికి,చేయించుకున్నాడు,పడుతున్న ఆసుపత్రిలో శస్త్రచికిత్స
బీజేపీ అధ్యక్షుడు,నిర్వహించింది,2001లో
ఆయుధాల డీలర్‌గా,ముడుపులిచ్చాడు,రూపాయలు
రహస్యంగా కెమెరాలు,చిత్రీకరించాయి,లక్ష్మణ్‌ లంచం
నకిలీ రక్షణ,సృష్టించింది,డీలర్లతో
వాజపేయి భారత,ఒప్పందం,పాకిస్థాన్
పాకిస్థాన్ అధ్యక్షుడు,ఆహ్వానించాడు,ముషారఫ్ను ఢిల్లీకి
ఆహ్వానాన్ని ముషారఫ్,వచ్చాడు,ఢిల్లీకి
రోజుల పర్యటనలో,సందర్శించాడు,ఢిల్లీలోని జన్మస్థానాన్ని
ముషారఫ్ కాశ్మీరు,విఫలమైంది,సమస్యను చర్చించడానికి
సాయుధ ఇస్లామిక,చేసారు,పార్లమెంటు
భద్రతా దళాలు,హతమార్చారు,వీరిని దాడిలో తీవ్రవాదుల్నీ
మంది ప్రజలు,మరణించారు,దీని
వాజపేయి హింసాత్మక,విమర్శలనెదుర్కొన్నాడు,చర్యలను
ఆర్ నారాయణన్,విమర్శించాడు,ప్రభుత్వం హింసాత్మక చర్యలను అదుపుచేయడంలో
ఆధిక్యత,భావించారు,ఎ
జె పి,13,ఎన్నికలలో విజయాలతో పార్టీకు
భాగస్వామ్య పక్షాలు,కోల్పోయాయి,సీట్లను
సోనియా గాంధీ,పొందింది,స్థానాలను
కాంగ్రెసు భాగస్వామ్య,పి,పక్షాలతో
మన్‌మోహన్ సింగ్,అధిష్టించాడు,పదవిని
వాజపేయి పదవికి,ప్రకటించాడు,రాజీనామా ప్రభుత్వానికి
ఎన్నికలలో భారతీయ,నిరాకరించాడు,పరాజయానికి
నాయకత్వ బాధ్యతను,అప్పగించాడు,కృష్ణ అద్వానీకి
లోక్‌సభలో ప్రతిపక్ష,ఎన్నికయ్యాడు,అద్వానీ
2005 నెలలో,ప్రకటించాడు,ముంబై లోని పార్కులో రాజకీయాలనుండి
మన్మోహన్ సింగ్,అభివర్ణించాడు,ప్రసంగంలో వాజపేయిని రాజకీయ
పరిస్థితి క్షీణించడంతో,కోలుకొన్నాడు,సహకారంతో
అనారోగ్య 2009,చేయలేకపోయాడు,ఎన్నికలలో
పికి మద్దతు,వ్రాసాడు,లేఖ
భారతదేశమంతటా భారతీయ,సాధించగలిగాడు,జనతా పార్టీ ఎన్నికలలో సహకారంతో నియోజకవర్గం
వాజపేయి 2001,చేయించుకున్నాడు,వైద్యశాల ముంబైలో
స్ట్రోక్ పక్షవాతానికి,క్షీణించింది,మాట
ఆరోగ్యపరిస్థితి వీల్,చేరాడు,స్థితికి
దీర్ఘకాలిక మధుమేహంతో,బాధపడ్డాడు,వ్యాధితో
చరమాకంలో బహిరంగ,కాలేదు,సమావేశంలోనూ
వైద్య సేవల,వెళ్ళలేదు,ఇండియా బయటికి ఎక్కడికి
మన్‌మోహన్ సింగ్,తెలుసుకొనేవాడు,ఆరోగ్యం
సాయంత్రం 5:05,మరణించాడు,ఢిల్లీలో
సంతానం వాజపేయి,తీసుకున్నాడు,అమ్మాయిని
ప్రకృతి ప్రేమికుడైన,ఇష్టం,వాజపేయికి
not of,victory,It the the
""" వాజపేయి",ప్రసంగించేవాడు,వేలాదిమంది
చరక సంహిత,ఒకటి,గ్రంథాల్లో
అధ్యాయం ఆయుర్వేద,సంబంధించింది,సూత్రాలకు
వైద్యుడు జ్ఞానాన్ని,చేస్తాడు,చికిత్సను
గ్రంధం వాలియాథను,చేసుకోవాలి,దీపంతో వ్యాధితో
కనికరం,ఉండాలి,అందరి
సూత్రీకరణలు తయారు,ఉండాలి,మోతాదులను
సానుభూతి శుభ్రత,ఉండాలి,అందరి
వైద్యులు నర్సుల,చరకసంహిత,నియమావళిని
అధ్యాయాలలోని వచనం,అందించింది,సంకేతం శ్లోకాలను
రోగి గృహంలో,పొందాలి,ప్రవేశించే రోగితరఫున కుటుంబంలోని సభుడు అనుమతి
రోగి రోగి,పాల్గొనకూడదు,కుటుంబంతో కార్యకలాపాలలో
పరుషపదాలను మృదువైన,సంభాషించాలి,పదాలతో
వైద్య విజ్ఞాన,3.8.12,పరిజ్ఞానానికి
వైద్యుడు అంకితం,చేసుకోవాలి,తనను తాను
వైద్యుడు పరిశోధనలను,చెబుతుంది,వైద్యులతో
శాస్త్రజ్ఞానం మరొకరితో,చెప్పాలి,మాటలతో
చరకసంహిత భరద్వాజ,ప్రస్తావించాడు,దేవేంద్రుడి
""" ఆరోగ్యం",అందిస్తాడు,రెండింటినీ
గ్లూక్లిచు గ్రంధం,అందిస్తుంది,లక్ష్యాలను
పారాయణాలతో వేదాల,ఉపయోగిస్తుంది,పొరలలో విలువలను
ఉదాహరణకు ఆలోచనలు,కనిపిస్తాయి,గ్రంథాలలో రూపకాలలో
అనుభవైక హేతుబద్ధమైన,చెందుతాయి,పోటీతో
వ్యాధులు శారీరక,ఉన్నాయి,మూలానికి
మనిషి వ్యాధి,ఐక్యమవుతాడు,పరిస్థితులతో
జ్ఞానం మనిషి,నివారించుకుంటాడు,పరిస్థితులను వ్యాధిని
అజ్ఞానం మార్గనిర్దేశం,చేస్తుంది,వారిని
సరైన పరీక్ష,తినాలి,ఆహారాన్ని
ఆహారాలు వేడి,సూచిస్తుంది,విలువలతో
వ నెల,సూచిస్తుంది,చరకసంహిత
దీనిలో మాంసం,ఉంచబడుతుంది,ప్రదేశానికి
రే ఇతరులు,ఉన్నాయి,జాబితా
మేక పాలలో,నానబెట్టండి,వాటిని
మేక పాలలో,కుమ్మరించండి,వాటిని
శుభ్రమైన వస్త్రం,ఉంచండి,దానిని
పాత్రకు తేలికపాటి,అందివ్వండి,వేడిని
పాలు ఆవిర్లు,ఉడకనివ్వండి,గుజ్జును
గుజ్జును మద్యంతో,జోడించండి,పాలను
నూనెను ఒకటి,జోడించండి,కషాయాలకు
గ్లూక్లిచు పురాతన,ఉన్నాయి,భారతదేశం
వ అధ్యాయం,సూచిస్తుంది,వైద్యులుగా
విద్యార్థి జ్ఞానానికి,వివరిస్తుంది,రిషికి అనుమానాలను
అప్రెంటిసుషిప్పు విద్యార్ధులు,ఉండాలి,రంగంలో
సంప్రదించాలి వ్యక్తి,ఉండాలి,తనను బయటి శౌచ
గురువును చరకసంహితను,చదువుకుంటారు,తండ్రిలాగే
ఉపాధ్యాయుడు విద్యార్థిని,ప్రారంభించాలి,అప్రెంటిస్‌గా ఆదేశాలతో
నీవు బ్రహ్మచారిన్,అయ్యింది,భాషల్లోకి
తెలుగులో అనువాదాలు,కొన్ని,గ్రంథాల్లో
మీర్జఖాన్ పల్లి,గ్రామము,మండలానికి
మానవుల జీవకణం,ఉంచబడుతుంది,కణజాలాలలోకి స్థానంలో
అభివృద్ధి లక్ష్యం,ఉపయోగపడుతుంది,అభివృద్ధికి
జన్యు చికిత్స,ఉండేది,వివాదాలతో
జన్యు లోపాల,వేసారు,కణాలలోకి
అయినప్పటికీ DNA,కష్టతరం,ప్రాంతానికి
జన్యు చికిత్సా,చేసుకున్నాయి,ఇవాళ
బీజ మార్గ,కలిసిపోతాయి,విధానంలో పదార్దాలలోకి
చికిత్స మార్పు,సంక్రమిస్తుంది,తరాలకు
సొమాటిక్ జన్యు,బదిలీచేయబడతాయి,కణాలలోకి
మార్పులు ప్రభావాలు,సంక్రమించవు,రోగికి తరాలకు
వైరస్లు అతిధేయులను,పెడతాయి,కణంలోకి
వైరస్లు జన్యువులను,పెడతాయి,జన్యువులోనికి
జన్యువులను ఫలితాన్నిచ్చే,బదలాయించాలి,సందేశాలను
వైరస్ జన్యుపదార్ధాన్ని,సాగాలి,పదార్థంలోకి
ఉదాహరణ అతిధేయ,కనుగొనబడింది,జన్యుపదార్థంలోకి
వైరస్ తనంతట,నిర్దేశిస్తుంది,జన్యువులోనికి ప్రాణ్యువును
అతిధేయ కణంయొక్క,శపెట్టబడుతుంది,లోనికి
అతిసూక్ష్మీకరణ వైరల్,అరికట్టాలి,చికిత్సలో జన్యుపదార్థంలో
జన్యు ప్రవేశం,కృషిచేస్తున్నారు,ప్రాథమిక
వైరస్లలోని జన్యుపదార్థం,అతిధేయుల,కణాల
జన్యు పదార్థం,ఉంటుంది,రూపంలో
రెట్రో వైరస్,ప్రవేశపెడుతుంది,ఎంజైములతో కణంలోకి
అతిధేయ కణంయొక్క,చేయాలి,పదార్థంతో
DNA నకలు,విలీనంచేయబడాయి,పదార్థంలోనికి
కణంలోని DNA,పెట్టాలి,దీనిని
ప్రక్రియను వైరస్,నిర్వహిస్తుంది,లోకి
